G	Gly	C2H3ON	57.021464	57.0519
A	Ala	C3H5ON	71.037114	71.0788
S	Ser	C3H5O2N	87.032028	87.0782
P	Pro	C5H7ON	97.052764	97.1167
V	Val	C5H9ON	99.068414	99.1326
T	Thr	C4H7O2N	101.047678	101.1051
C	Cys	C3H5ONS	103.009184	103.1388
L	Leu	C6H11ON	113.084064	113.1594
I	Ile	C6H11ON	113.084064	113.1594
N	Asn	C4H6O2N2	114.042927	114.1038
D	Asp	C4H5O3N	115.026943	115.0886
K	Lys	C6H12ON2	128.094963	128.1741
Q	Gln	C5H8O2N2	128.058577	128.1307
E	Glu	C5H7O3N	129.042593	129.1155
M	Met	C5H9ONS	131.040485	131.1926
H	His	C6H7ON3	137.058912	137.1411
F	Phe	C9H9ON	147.068414	147.1766
R	Arg	C6H12ON4	156.101111	156.1875
Y	Tyr	C9H9O2N	163.063328	163.1760
W	Trp	C11H10ON2	186.079313	186.2132
B	Asx	C4H?O?N?	0.0	0.0
Z	Glx	C5H?N?O?	0.0	0.0
X	Xaa	?	0.0	0.0
